,expedition_id,peak_id,peak_name,year,season,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used
26,ANN457101,ANN4,Annapurna IV,1957,Spring,Success (main peak),7525.0,2,0,4,0,No
27,ANN460101,ANN4,Annapurna IV,1960,Spring,Success (main peak),7525.0,4,0,3,0,No
28,ANN469301,ANN4,Annapurna IV,1969,Autumn,Success (main peak),7525.0,9,0,1,0,No
29,ANN469302,ANN4,Annapurna IV,1969,Autumn,Success (main peak),7525.0,10,0,0,0,No
30,ANN470101,ANN4,Annapurna IV,1970,Spring,Success (main peak),7525.0,8,0,6,0,No
31,ANN474101,ANN4,Annapurna IV,1974,Spring,Success (main peak),7525.0,4,0,5,0,No
32,ANN478101,ANN4,Annapurna IV,1978,Spring,Success (main peak),7525.0,7,0,5,0,No
33,ANN479301,ANN4,Annapurna IV,1979,Autumn,"Illness, AMS, exhaustion, or frostbite",6900.0,16,0,5,0,No
34,ANN480301,ANN4,Annapurna IV,1980,Autumn,Success (main peak),7525.0,14,0,6,0,No
35,ANN481101,ANN4,Annapurna IV,1981,Spring,Success (main peak),7525.0,7,0,3,0,No
36,ANN481301,ANN4,Annapurna IV,1981,Autumn,"Bad weather (storms, high winds)",7300.0,19,0,0,0,No
37,ANN481401,ANN4,Annapurna IV,1981,Winter,Success (main peak),7525.0,8,0,2,0,No
38,ANN483101,ANN4,Annapurna IV,1983,Spring,Success (main peak),7525.0,4,0,1,0,No
39,ANN483301,ANN4,Annapurna IV,1983,Autumn,Success (main peak),7525.0,15,0,3,0,No
40,ANN484302,ANN4,Annapurna IV,1984,Autumn,"Bad weather (storms, high winds)",6400.0,10,0,2,0,No
41,ANN484301,ANN4,Annapurna IV,1984,Autumn,Lack (or loss) of supplies or equipment,6800.0,9,0,2,0,No
42,ANN485301,ANN4,Annapurna IV,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5000.0,15,0,0,1,No
43,ANN486101,ANN4,Annapurna IV,1986,Spring,Success (main peak),7525.0,35,0,5,0,No
44,ANN486301,ANN4,Annapurna IV,1986,Autumn,Success (main peak),7525.0,9,0,2,0,No
45,ANN487101,ANN4,Annapurna IV,1987,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5700.0,6,0,2,0,No
46,ANN487302,ANN4,Annapurna IV,1987,Autumn,"Bad weather (storms, high winds)",6460.0,15,0,2,0,No
47,ANN487301,ANN4,Annapurna IV,1987,Autumn,Success (main peak),7525.0,7,0,4,0,No
48,ANN489301,ANN4,Annapurna IV,1989,Autumn,Success (main peak),7525.0,9,0,2,0,No
49,ANN490301,ANN4,Annapurna IV,1990,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6600.0,12,0,5,0,No
50,ANN490302,ANN4,Annapurna IV,1990,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6800.0,10,0,3,0,No
51,ANN490303,ANN4,Annapurna IV,1990,Autumn,Success (main peak),7525.0,8,0,7,0,Yes
52,ANN491101,ANN4,Annapurna IV,1991,Spring,"Bad weather (storms, high winds)",5650.0,6,0,3,0,No
53,ANN491301,ANN4,Annapurna IV,1991,Autumn,"Bad weather (storms, high winds)",6480.0,1,0,1,0,No
54,ANN491302,ANN4,Annapurna IV,1991,Autumn,"Bad weather (storms, high winds)",7000.0,1,0,5,0,No
55,ANN491303,ANN4,Annapurna IV,1991,Autumn,"Bad weather (storms, high winds)",6500.0,9,0,2,0,No
56,ANN492101,ANN4,Annapurna IV,1992,Spring,Success (main peak),7525.0,12,0,0,0,Yes
57,ANN492301,ANN4,Annapurna IV,1992,Autumn,Success (main peak),7525.0,6,0,3,0,No
58,ANN492303,ANN4,Annapurna IV,1992,Autumn,Success (main peak),7525.0,1,0,4,0,No
59,ANN492302,ANN4,Annapurna IV,1992,Autumn,Success (main peak),7525.0,6,0,1,0,No
60,ANN492304,ANN4,Annapurna IV,1992,Autumn,"Bad weather (storms, high winds)",6400.0,6,0,5,0,No
61,MAKA88101,MAKA,Makalu,1988,Spring,Success (main peak),8485.0,1,0,2,0,No
62,MAKA88103,MAKA,Makalu,1988,Spring,"Bad weather (storms, high winds)",7800.0,9,0,2,0,No
63,MAKA88102,MAKA,Makalu,1988,Spring,Lack of time,8300.0,9,0,1,0,No
64,KANG88101,KANG,Kangchenjunga,1988,Spring,Success (main peak),8586.0,5,0,2,0,No
65,KANG88102,KANG,Kangchenjunga,1988,Spring,"Bad weather (storms, high winds)",7800.0,4,0,2,0,No
66,KANG88103,KANG,Kangchenjunga,1988,Spring,"Route technically too difficult, lack of experience, strength, or motivation",8450.0,23,1,9,0,Yes
67,MAKA88104,MAKA,Makalu,1988,Spring,Did not reach base camp,7408.9238190954775,2,0,0,0,No
68,AMAD88101,AMAD,Ama Dablam,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5770.0,4,0,2,0,No
69,AMAD88102,AMAD,Ama Dablam,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6520.0,6,1,0,0,No
70,BARU88102,BARU,Baruntse,1988,Spring,Lack of time,6500.0,6,0,5,0,No
71,BARU88101,BARU,Baruntse,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7070.0,10,0,4,0,Yes
72,CHAM88101,CHAM,Chamlang,1988,Spring,Success (subpeak),7290.0,6,0,2,0,No
73,KUSU88101,KUSU,Kusum Kanguru,1988,Spring,Lack of time,6300.0,6,0,0,0,No
74,LSHR88101,LSHR,Lhotse Shar,1988,Spring,"Bad weather (storms, high winds)",7400.0,5,0,1,0,No
75,CHOY88102,CHOY,Cho Oyu,1988,Spring,Lack (or loss) of supplies or equipment,7600.0,5,0,6,0,No
76,CHOY88105,CHOY,Cho Oyu,1988,Spring,"Bad weather (storms, high winds)",7600.0,2,0,0,0,No
77,CHOY88104,CHOY,Cho Oyu,1988,Spring,Success (main peak),8188.0,4,1,0,0,No
78,CHOY88101,CHOY,Cho Oyu,1988,Spring,Success (main peak),8188.0,6,0,1,0,No
79,CHOY88103,CHOY,Cho Oyu,1988,Spring,Success (main peak),8188.0,8,0,4,0,No
80,CHOY88106,CHOY,Cho Oyu,1988,Spring,Success (main peak),8188.0,27,0,0,0,No
81,KTEG88101,KTEG,Kangtega,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100.0,3,0,0,0,No
82,PUMO88101,PUMO,Pumori,1988,Spring,Success (main peak),7138.0,4,1,0,0,No
83,PUMO88102,PUMO,Pumori,1988,Spring,Success (main peak),7138.0,7,0,4,0,No
84,TAWO88101,TAWO,Tawoche,1988,Spring,"Bad weather (storms, high winds)",6400.0,4,0,0,0,No
85,ANNS88101,ANNS,Annapurna South,1988,Spring,Lack (or loss) of supplies or equipment,6100.0,4,0,0,0,No
86,ANN188101,ANN1,Annapurna I,1988,Spring,Success (main peak),8091.0,7,0,4,0,No
87,ANN188102,ANN1,Annapurna I,1988,Spring,Did not reach base camp,7408.9238190954775,5,0,0,0,No
88,CHRE88101,CHRE,Churen Himal East,1988,Spring,Success (main peak),7371.0,7,1,2,0,No
89,GAN288101,GAN2,Ganesh II,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100.0,4,0,0,0,No
90,MANA88101,MANA,Manaslu,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5400.0,2,0,0,0,No
91,MANA88103,MANA,Manaslu,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7050.0,8,0,1,0,No
92,MANA88102,MANA,Manaslu,1988,Spring,Success (main peak),8163.0,7,0,0,0,No
93,PUTH88101,PUTH,Putha Hiunchuli,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6300.0,9,0,1,0,No
94,CTSE88101,CTSE,Changtse,1988,Spring,Other,7100.0,5,0,0,0,Yes
95,AMAD88401,AMAD,Ama Dablam,1988,Winter,Success (main peak),6814.0,3,0,1,0,No
96,AMAD88402,AMAD,Ama Dablam,1988,Winter,Success (main peak),6814.0,16,0,9,0,No
97,ANN188401,ANN1,Annapurna I,1988,Winter,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6800.0,8,0,2,0,No
98,CHOY88401,CHOY,Cho Oyu,1988,Winter,"Bad weather (storms, high winds)",5700.0,2,0,1,0,No
99,NEMJ88401,NEMJ,Nemjung,1988,Winter,"Bad weather (storms, high winds)",6650.0,8,0,2,0,No
100,LANG88401,LANG,Langtang Lirung,1988,Winter,Success (main peak),7227.0,5,0,3,0,No
101,TAWO88401,TAWO,Tawoche,1988,Winter,Success (main peak),6495.0,2,0,1,0,No
102,THAM88401,THAM,Thamserku,1988,Winter,"Route technically too difficult, lack of experience, strength, or motivation",5790.0,3,0,2,0,No
103,NUPT88401,NUPT,Nuptse,1988,Winter,Success (subpeak),7784.0,11,0,7,0,No
104,YALU88401,YALU,Yalung Kang,1988,Winter,"Bad weather (storms, high winds)",7200.0,7,0,0,0,No
105,CTSE88201,CTSE,Changtse,1988,Summer,Success (main peak),7583.0,16,0,0,0,No
106,CHOY88201,CHOY,Cho Oyu,1988,Summer,Success (main peak),8188.0,2,0,0,0,No
107,EVER88401,EVER,Everest,1988,Winter,Accident (death or serious injury),8700.0,17,0,10,1,Yes
108,LHOT88401,LHOT,Lhotse,1988,Winter,Success (main peak),8516.0,5,0,0,0,Yes
109,EVER88402,EVER,Everest,1988,Winter,"Bad weather (storms, high winds)",7800.0,11,0,7,0,No
110,LANR83301,LANR,Langtang Ri,1983,Autumn,Success (main peak),7205.0,6,0,3,0,No
111,DHA183301,DHA1,Dhaulagiri I,1983,Autumn,"Bad weather (storms, high winds)",7700.0,15,1,4,0,No
112,DHA183303,DHA1,Dhaulagiri I,1983,Autumn,Success (main peak),8167.0,2,0,0,0,No
113,DHA183302,DHA1,Dhaulagiri I,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6020.0,7,0,0,0,No
114,NEMJ83301,NEMJ,Nemjung,1983,Autumn,Success (main peak),7140.0,6,0,3,0,No
115,HIME83301,HIME,Himalchuli East,1983,Autumn,Accident (death or serious injury),6500.0,9,2,2,0,No
116,KGUR83301,KGUR,Kang Guru,1983,Autumn,Success (main peak),6981.0,10,0,4,0,Yes
117,MAKA83302,MAKA,Makalu,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6700.0,4,0,0,0,No
118,MAKA83301,MAKA,Makalu,1983,Autumn,Accident (death or serious injury),7600.0,4,2,1,0,No
119,NILN83301,NILN,Nilgiri North,1983,Autumn,Success (main peak),7061.0,8,0,1,0,Yes
120,ANN383302,ANN3,Annapurna III,1983,Autumn,"Bad weather (storms, high winds)",7135.0,5,0,1,0,No
121,ANN383301,ANN3,Annapurna III,1983,Autumn,Accident (death or serious injury),6300.0,4,1,0,0,No
122,DHA683301,DHA6,Dhaulagiri VI,1983,Autumn,Success (main peak),7268.0,5,0,0,0,No
123,LSHR83301,LSHR,Lhotse Shar,1983,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",7925.0,3,0,0,0,No
124,MANA83302,MANA,Manaslu,1983,Autumn,Success (main peak),8163.0,3,0,2,0,No
125,MANA83301,MANA,Manaslu,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7400.0,5,0,3,0,No
126,ANN183301,ANN1,Annapurna I,1983,Autumn,Accident (death or serious injury),6700.0,9,1,4,2,No
127,ANN183302,ANN1,Annapurna I,1983,Autumn,"Bad weather (storms, high winds)",6250.0,13,0,4,0,No
128,ANN183303,ANN1,Annapurna I,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400.0,7,0,3,0,No
129,CHOY83301,CHOY,Cho Oyu,1983,Autumn,"Bad weather (storms, high winds)",6500.0,6,0,3,0,No
130,CHOY83302,CHOY,Cho Oyu,1983,Autumn,"Bad weather (storms, high winds)",7730.0,11,0,5,0,No
131,NUMB83301,NUMB,Numbur,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5900.0,7,0,2,0,No
132,CHRW83301,CHRW,Churen Himal West,1983,Autumn,Accident (death or serious injury),6850.0,15,2,3,0,No
133,GAUR83301,GAUR,Gaurishankar,1983,Autumn,Success (subpeak),7010.0,15,0,0,0,No
134,GAN383301,GAN3,Ganesh III,1983,Autumn,Accident (death or serious injury),6800.0,12,1,0,0,No
135,GAN483301,GAN4,Ganesh IV,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400.0,4,0,2,0,No
136,KTEG83301,KTEG,Kangtega,1983,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6250.0,6,0,4,1,No
137,AMAD83301,AMAD,Ama Dablam,1983,Autumn,Success (main peak),6814.0,17,2,5,0,No
138,AMAD83302,AMAD,Ama Dablam,1983,Autumn,Success (main peak),6814.0,13,0,4,0,No
139,CHOB83301,CHOB,Chobuje,1983,Autumn,Accident (death or serious injury),6150.0,12,2,0,0,No
140,GLAC83302,GLAC,Glacier Dome,1983,Autumn,Other,6500.0,4,0,0,0,No
141,GLAC83301,GLAC,Glacier Dome,1983,Autumn,Success (main peak),7069.0,17,0,4,0,No
142,KANG83301,KANG,Kangchenjunga,1983,Autumn,Success (main peak),8586.0,9,0,1,0,No
143,KANG83302,KANG,Kangchenjunga,1983,Autumn,Success (main peak),8586.0,5,0,0,0,No
144,BARU83302,BARU,Baruntse,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6300.0,10,0,2,0,No
145,BARU83301,BARU,Baruntse,1983,Autumn,Success (subpeak),7057.0,6,0,0,0,No
146,MAK283301,MAK2,Makalu II,1983,Autumn,Success (main peak),7678.0,6,0,0,0,No
147,TUKU83301,TUKU,Tukuche,1983,Autumn,Did not reach base camp,7408.9238190954775,9,0,0,0,No
148,GANG83302,GANG,Gangapurna,1983,Autumn,Success (main peak),7455.0,10,0,0,0,No
149,GANG83301,GANG,Gangapurna,1983,Autumn,Lack (or loss) of supplies or equipment,5335.0,9,0,1,0,No
150,AMAD83401,AMAD,Ama Dablam,1983,Winter,Success (main peak),6814.0,3,0,0,0,No
151,ANN183401,ANN1,Annapurna I,1983,Winter,"Bad weather (storms, high winds)",6900.0,4,0,3,0,No
152,KGUR83401,KGUR,Kang Guru,1983,Winter,Success (main peak),6981.0,4,0,0,0,No
153,NUMB83401,NUMB,Numbur,1983,Winter,Success (main peak),6958.0,6,0,6,0,No
154,TILI83401,TILI,Tilicho,1983,Winter,Success (main peak),7134.0,4,0,0,0,No
155,APIM83401,APIM,Api Main,1983,Winter,Success (main peak),7132.0,8,1,0,0,No
156,MANA83402,MANA,Manaslu,1983,Winter,Success (main peak),8163.0,11,1,0,0,No
157,MAKA85101,MAKA,Makalu,1985,Spring,"Bad weather (storms, high winds)",8430.0,4,0,0,0,No
158,CHOY85103,CHOY,Cho Oyu,1985,Spring,Success (main peak),8188.0,11,0,0,0,No
159,DHA185101,DHA1,Dhaulagiri I,1985,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000.0,7,0,0,0,No
160,TUKU85101,TUKU,Tukuche,1985,Spring,Success (main peak),6920.0,7,0,0,0,No
161,PUMO85102,PUMO,Pumori,1985,Spring,Success (main peak),7138.0,4,0,0,0,No
162,MAK285101,MAK2,Makalu II,1985,Spring,Success (main peak),7678.0,5,0,0,0,No
163,HIME85101,HIME,Himalchuli East,1985,Spring,Success (main peak),7893.0,12,2,3,0,No
164,AMAD85101,AMAD,Ama Dablam,1985,Spring,Success (main peak),6814.0,7,0,0,0,No
165,LSHR85101,LSHR,Lhotse Shar,1985,Spring,"Illness, AMS, exhaustion, or frostbite",8100.0,1,0,4,0,No
166,GURJ85102,GURJ,Gurja Himal,1985,Spring,Success (main peak),7193.0,8,1,6,0,No
167,KANG85101,KANG,Kangchenjunga,1985,Spring,"Bad weather (storms, high winds)",7900.0,6,0,3,0,Yes
168,ANN185101,ANN1,Annapurna I,1985,Spring,Success (main peak),8091.0,5,0,3,0,No
169,DHA185102,DHA1,Dhaulagiri I,1985,Spring,Success (main peak),8167.0,2,0,2,0,No
170,CHOY85101,CHOY,Cho Oyu,1985,Spring,Success (main peak),8188.0,12,0,0,0,Yes
171,NGOJ85101,NGOJ,Ngojumba Kang I,1985,Spring,Success (main peak),7916.0,3,0,0,0,No
172,NILN85101,NILN,Nilgiri North,1985,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400.0,9,0,1,0,No
173,ANN385101,ANN3,Annapurna III,1985,Spring,Success (main peak),7555.0,22,0,3,0,No
174,ANNS85101,ANNS,Annapurna South,1985,Spring,Lack (or loss) of supplies or equipment,5650.0,7,0,2,0,No
175,CHOL85101,CHOL,Cholatse,1985,Spring,Success (main peak),6440.0,7,0,0,0,No
176,AMAD85102,AMAD,Ama Dablam,1985,Spring,Success (main peak),6814.0,7,1,0,0,No
177,TAWO85101,TAWO,Tawoche,1985,Spring,Success (main peak),6495.0,7,0,0,0,No
178,YALU85101,YALU,Yalung Kang,1985,Spring,Success (main peak),8505.0,15,1,7,0,Yes
179,OHMI85101,OHMI,Ohmi Kangri,1985,Spring,Success (main peak),6839.0,10,0,3,0,No
180,GAUR85101,GAUR,Gaurishankar,1985,Spring,Accident (death or serious injury),6500.0,2,1,0,0,No
181,GURJ85101,GURJ,Gurja Himal,1985,Spring,Success (main peak),7193.0,9,1,3,0,Yes
182,CHOY85102,CHOY,Cho Oyu,1985,Spring,Success (main peak),8188.0,11,0,0,0,Yes
183,PUMO85101,PUMO,Pumori,1985,Spring,Success (main peak),7138.0,8,0,3,0,No
184,CHOB85101,CHOB,Chobuje,1985,Spring,Success (main peak),6686.0,5,0,0,0,No
185,MANA85101,MANA,Manaslu,1985,Spring,Success (main peak),8163.0,7,1,3,0,No
186,GAN185301,GAN1,Ganesh I,1985,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6200.0,3,0,3,0,No
187,HIMN85302,HIMN,Himalchuli North,1985,Autumn,Success (main peak),7331.0,8,0,6,0,No
188,AMAD85302,AMAD,Ama Dablam,1985,Autumn,Success (main peak),6814.0,5,0,2,0,No
189,KUSU85301,KUSU,Kusum Kanguru,1985,Autumn,Success (main peak),6370.0,4,0,0,0,No
190,MANA85301,MANA,Manaslu,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6300.0,6,0,0,0,No
191,TUKU85301,TUKU,Tukuche,1985,Autumn,Success (main peak),6920.0,4,0,3,0,No
192,DHA185301,DHA1,Dhaulagiri I,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7250.0,18,0,0,0,No
193,BARU85301,BARU,Baruntse,1985,Autumn,Success (main peak),7152.0,15,0,2,0,No
194,MANN85301,MANN,Manaslu North,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",4950.0,16,0,2,0,Yes
195,KAG185301,KAG1,Kagmara I,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5700.0,7,0,0,0,No
196,SAIP85301,SAIP,Saipal,1985,Autumn,Success (main peak),7030.0,13,0,0,0,No
197,ANNS85301,ANNS,Annapurna South,1985,Autumn,Accident (death or serious injury),6500.0,11,2,0,0,No
198,MAK285302,MAK2,Makalu II,1985,Autumn,Accident (death or serious injury),7450.0,10,2,2,0,No
199,THAM85302,THAM,Thamserku,1985,Autumn,Success (main peak),6618.0,7,0,3,0,No
200,GANG85302,GANG,Gangapurna,1985,Autumn,"Bad weather (storms, high winds)",6600.0,5,0,0,0,No
201,ANN185301,ANN1,Annapurna I,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6000.0,5,0,6,0,No
202,ANNS85302,ANNS,Annapurna South,1985,Autumn,Accident (death or serious injury),6500.0,6,1,0,0,No
203,KGUR85301,KGUR,Kang Guru,1985,Autumn,Accident (death or serious injury),6000.0,7,1,4,0,No
204,AMAD85301,AMAD,Ama Dablam,1985,Autumn,Success (main peak),6814.0,22,0,3,0,No
205,BARU85302,BARU,Baruntse,1985,Autumn,Did not reach base camp,7408.9238190954775,13,0,0,0,No
206,MANA85303,MANA,Manaslu,1985,Autumn,Accident (death or serious injury),7200.0,15,0,10,1,No
207,KIRA85301,KIRA,Kirat Chuli,1985,Autumn,"Bad weather (storms, high winds)",7408.9238190954775,31,0,0,0,No
208,MAK285301,MAK2,Makalu II,1985,Autumn,Success (main peak),7678.0,10,2,5,0,No
209,CHOY85301,CHOY,Cho Oyu,1985,Autumn,Success (main peak),8188.0,4,0,2,0,No
210,GAUR85301,GAUR,Gaurishankar,1985,Autumn,"Illness, AMS, exhaustion, or frostbite",6200.0,5,0,3,0,No
211,LANG85301,LANG,Langtang Lirung,1985,Autumn,Accident (death or serious injury),5030.0,7,2,1,1,No
212,MANA85302,MANA,Manaslu,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6250.0,9,0,8,0,No
213,DHA285301,DHA2,Dhaulagiri II,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7200.0,4,0,3,0,No
214,LSIS85301,LSIS,Langshisa Ri,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100.0,9,0,2,0,No
215,DORJ85301,DORJ,Dorje Lhakpa,1985,Autumn,Success (main peak),6966.0,9,0,3,0,No
216,HIMW85301,HIMW,Himalchuli West,1985,Autumn,"Bad weather (storms, high winds)",4875.0,6,0,2,0,No
217,GAN485301,GAN4,Ganesh IV,1985,Autumn,Accident (death or serious injury),6700.0,4,3,2,0,No
218,HIMN85301,HIMN,Himalchuli North,1985,Autumn,Success (main peak),7331.0,12,0,0,0,No
219,GANG85301,GANG,Gangapurna,1985,Autumn,Success (main peak),7455.0,13,0,0,0,No
220,MAKA85301,MAKA,Makalu,1985,Autumn,Success (main peak),8485.0,6,0,1,0,No
221,NILS85301,NILS,Nilgiri South,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5900.0,4,0,1,0,No
222,ANN385301,ANN3,Annapurna III,1985,Autumn,Did not reach base camp,5000.0,5,0,0,0,No
223,DHA185303,DHA1,Dhaulagiri I,1985,Autumn,"Bad weather (storms, high winds)",7600.0,6,0,0,0,No
224,KANC85301,KANC,Kangchenjunga Central,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6200.0,1,0,2,0,No
225,ANN185302,ANN1,Annapurna I,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5600.0,2,0,0,0,No
226,DHA185302,DHA1,Dhaulagiri I,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5400.0,2,0,1,0,No
227,TILI85301,TILI,Tilicho,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6750.0,8,0,1,0,No
228,NILN85301,NILN,Nilgiri North,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6200.0,7,0,0,0,No
229,HIME85301,HIME,Himalchuli East,1985,Autumn,Success (main peak),7893.0,6,0,1,0,Yes
230,GAUR85401,GAUR,Gaurishankar,1985,Winter,Success (main peak),7135.0,4,0,2,0,No
231,AMAD85401,AMAD,Ama Dablam,1985,Winter,Success (main peak),6814.0,2,0,0,0,No
232,ANN185401,ANN1,Annapurna I,1985,Winter,"Bad weather (storms, high winds)",7300.0,16,0,4,0,No
233,CHOY85401,CHOY,Cho Oyu,1985,Winter,Success (main peak),8188.0,6,0,0,0,No
234,MAKA85401,MAKA,Makalu,1985,Winter,"Bad weather (storms, high winds)",7520.0,7,0,3,0,No
235,KTEG85401,KTEG,Kangtega,1985,Winter,Success (main peak),6783.0,10,0,1,0,No
236,KARY85401,KARY,Karyolung,1985,Winter,"Bad weather (storms, high winds)",6400.0,4,0,2,0,No
237,MANA85401,MANA,Manaslu,1985,Winter,Success (main peak),8163.0,2,0,0,0,No
238,MAKA85402,MAKA,Makalu,1985,Winter,"Bad weather (storms, high winds)",7500.0,6,0,4,0,No
239,AMAD85402,AMAD,Ama Dablam,1985,Winter,"Bad weather (storms, high winds)",6100.0,5,0,0,0,No
240,KANG85401,KANG,Kangchenjunga,1985,Winter,Success (main peak),8586.0,19,1,0,0,No
241,DHA185401,DHA1,Dhaulagiri I,1985,Winter,Success (main peak),8167.0,4,0,0,0,No
242,PUMO86402,PUMO,Pumori,1986,Winter,Success (main peak),7138.0,2,0,1,0,No
243,NUPT86401,NUPT,Nuptse,1986,Winter,"Illness, AMS, exhaustion, or frostbite",6700.0,2,0,0,0,No
244,MAKA86401,MAKA,Makalu,1986,Winter,"Bad weather (storms, high winds)",7500.0,2,0,0,0,No
